resume_text,job_description,label
"Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for enterprise solutions.","Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for enterprise solutions.",1
"Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for enterprise solutions.","Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for startup environments.",0
"Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for startup environments.","Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for startup environments.",1
"Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for startup environments.",Cloud Architect Seeking a Cloud Architect to design scalable AWS and Azure cloud infrastructure and security. for global teams.,0
"Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for global teams.","Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for global teams.",1
"Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for global teams.","Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for global teams.",0
"Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for enterprise solutions.","Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for enterprise solutions.",1
"Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for enterprise solutions.",Flutter Developer Seeking a Flutter Developer for cross-platform app development and API integration. for startup environments.,0
"Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for startup environments.","Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for startup environments.",1
"Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for startup environments.","Business Analyst Seeking a Business Analyst for requirement gathering, KPI analysis, and stakeholder communication. for startup environments.",0
"Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for global teams.","Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for global teams.",1
"Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for global teams.","Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for global teams.",0
"Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for enterprise solutions.","Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for enterprise solutions.",1
"Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for enterprise solutions.",iOS Developer Seeking an iOS Developer with Swift and UIKit experience for mobile applications. for global teams.,0
"Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for startup environments.","Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for startup environments.",1
"Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for startup environments.",Java Spring Developer Seeking a Java Developer with Spring Boot and Hibernate for enterprise backend applications. for startup environments.,0
"Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for global teams.","Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for global teams.",1
"Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for global teams.","Game Developer Seeking a Game Developer with Unity, Unreal Engine, and C# experience. for enterprise solutions.",0
"Product Data Analyst Seeking a Product Data Analyst to analyze user behavior, product metrics, and A/B testing results to improve product decisions. for enterprise solutions.","Product Data Analyst Seeking a Product Data Analyst to analyze user behavior, product metrics, and A/B testing results to improve product decisions. for enterprise solutions.",1
"Product Data Analyst Seeking a Product Data Analyst to analyze user behavior, product metrics, and A/B testing results to improve product decisions. for enterprise solutions.","Network Security Engineer Seeking a Network Security Engineer to manage firewalls, VPNs, and intrusion detection systems. for enterprise solutions.",0
"Product Data Analyst Seeking a Product Data Analyst to analyze user behavior, product metrics, and A/B testing results to improve product decisions. for startup environments.","Product Data Analyst Seeking a Product Data Analyst to analyze user behavior, product metrics, and A/B testing results to improve product decisions. for startup environments.",1
"Product Data Analyst Seeking a Product Data Analyst to analyze user behavior, product metrics, and A/B testing results to improve product decisions. for startup environments.","Software Tester Seeking a Software Tester for bug tracking, test cases, and software validation. for global teams.",0
"Product Data Analyst Seeking a Product Data Analyst to analyze user behavior, product metrics, and A/B testing results to improve product decisions. for global teams.","Product Data Analyst Seeking a Product Data Analyst to analyze user behavior, product metrics, and A/B testing results to improve product decisions. for global teams.",1
"Product Data Analyst Seeking a Product Data Analyst to analyze user behavior, product metrics, and A/B testing results to improve product decisions. for global teams.","Machine Learning Engineer Seeking an ML Engineer to build predictive models, NLP systems, and deep learning pipelines using Python, TensorFlow, and scikit-learn. for startup environments.",0
"Business Intelligence Analyst Seeking a BI Analyst to build dashboards, KPIs, and reports using Power BI, Tableau, SQL, and stakeholder communication. for enterprise solutions.","Business Intelligence Analyst Seeking a BI Analyst to build dashboards, KPIs, and reports using Power BI, Tableau, SQL, and stakeholder communication. for enterprise solutions.",1
"Business Intelligence Analyst Seeking a BI Analyst to build dashboards, KPIs, and reports using Power BI, Tableau, SQL, and stakeholder communication. for enterprise solutions.","Healthcare Data Analyst Seeking a Healthcare Data Analyst to manage patient records, hospital metrics, and healthcare reporting. Experience with SQL, Power BI, and healthcare compliance analytics required. for startup environments.",0
"Business Intelligence Analyst Seeking a BI Analyst to build dashboards, KPIs, and reports using Power BI, Tableau, SQL, and stakeholder communication. for startup environments.","Business Intelligence Analyst Seeking a BI Analyst to build dashboards, KPIs, and reports using Power BI, Tableau, SQL, and stakeholder communication. for startup environments.",1
"Business Intelligence Analyst Seeking a BI Analyst to build dashboards, KPIs, and reports using Power BI, Tableau, SQL, and stakeholder communication. for startup environments.","Android Developer Seeking an Android Developer skilled in Kotlin, Java, and mobile app architecture. for global teams.",0
"Business Intelligence Analyst Seeking a BI Analyst to build dashboards, KPIs, and reports using Power BI, Tableau, SQL, and stakeholder communication. for global teams.","Business Intelligence Analyst Seeking a BI Analyst to build dashboards, KPIs, and reports using Power BI, Tableau, SQL, and stakeholder communication. for global teams.",1
"Business Intelligence Analyst Seeking a BI Analyst to build dashboards, KPIs, and reports using Power BI, Tableau, SQL, and stakeholder communication. for global teams.","Android Developer Seeking an Android Developer skilled in Kotlin, Java, and mobile app architecture. for startup environments.",0
"Machine Learning Engineer Seeking an ML Engineer to build predictive models, NLP systems, and deep learning pipelines using Python, TensorFlow, and scikit-learn. for enterprise solutions.","Machine Learning Engineer Seeking an ML Engineer to build predictive models, NLP systems, and deep learning pipelines using Python, TensorFlow, and scikit-learn. for enterprise solutions.",1
"Machine Learning Engineer Seeking an ML Engineer to build predictive models, NLP systems, and deep learning pipelines using Python, TensorFlow, and scikit-learn. for enterprise solutions.","QA Automation Engineer Seeking a QA Engineer skilled in Selenium, test automation, and software quality assurance. for startup environments.",0
"Machine Learning Engineer Seeking an ML Engineer to build predictive models, NLP systems, and deep learning pipelines using Python, TensorFlow, and scikit-learn. for startup environments.","Machine Learning Engineer Seeking an ML Engineer to build predictive models, NLP systems, and deep learning pipelines using Python, TensorFlow, and scikit-learn. for startup environments.",1
"Machine Learning Engineer Seeking an ML Engineer to build predictive models, NLP systems, and deep learning pipelines using Python, TensorFlow, and scikit-learn. for startup environments.","Backend Node Developer Seeking a Backend Developer to create APIs, manage databases, and implement authentication systems using Node.js and Express. for startup environments.",0
"Machine Learning Engineer Seeking an ML Engineer to build predictive models, NLP systems, and deep learning pipelines using Python, TensorFlow, and scikit-learn. for global teams.","Machine Learning Engineer Seeking an ML Engineer to build predictive models, NLP systems, and deep learning pipelines using Python, TensorFlow, and scikit-learn. for global teams.",1
"Machine Learning Engineer Seeking an ML Engineer to build predictive models, NLP systems, and deep learning pipelines using Python, TensorFlow, and scikit-learn. for global teams.",iOS Developer Seeking an iOS Developer with Swift and UIKit experience for mobile applications. for startup environments.,0
"Computer Vision Engineer Seeking a CV Engineer to develop object detection, image classification, and OCR solutions using OpenCV and PyTorch. for enterprise solutions.","Computer Vision Engineer Seeking a CV Engineer to develop object detection, image classification, and OCR solutions using OpenCV and PyTorch. for enterprise solutions.",1
"Computer Vision Engineer Seeking a CV Engineer to develop object detection, image classification, and OCR solutions using OpenCV and PyTorch. for enterprise solutions.","Blockchain Developer Seeking a Blockchain Developer skilled in Solidity, Ethereum, smart contracts, and Web3. for enterprise solutions.",0
"Computer Vision Engineer Seeking a CV Engineer to develop object detection, image classification, and OCR solutions using OpenCV and PyTorch. for startup environments.","Computer Vision Engineer Seeking a CV Engineer to develop object detection, image classification, and OCR solutions using OpenCV and PyTorch. for startup environments.",1
"Computer Vision Engineer Seeking a CV Engineer to develop object detection, image classification, and OCR solutions using OpenCV and PyTorch. for startup environments.","Blockchain Developer Seeking a Blockchain Developer skilled in Solidity, Ethereum, smart contracts, and Web3. for global teams.",0
"Computer Vision Engineer Seeking a CV Engineer to develop object detection, image classification, and OCR solutions using OpenCV and PyTorch. for global teams.","Computer Vision Engineer Seeking a CV Engineer to develop object detection, image classification, and OCR solutions using OpenCV and PyTorch. for global teams.",1
"Computer Vision Engineer Seeking a CV Engineer to develop object detection, image classification, and OCR solutions using OpenCV and PyTorch. for global teams.","Machine Learning Engineer Seeking an ML Engineer to build predictive models, NLP systems, and deep learning pipelines using Python, TensorFlow, and scikit-learn. for enterprise solutions.",0
"NLP Engineer Seeking an NLP Engineer to create chatbots, sentiment analysis systems, and language models using transformers and Python. for enterprise solutions.","NLP Engineer Seeking an NLP Engineer to create chatbots, sentiment analysis systems, and language models using transformers and Python. for enterprise solutions.",1
"NLP Engineer Seeking an NLP Engineer to create chatbots, sentiment analysis systems, and language models using transformers and Python. for enterprise solutions.",Python Backend Developer Seeking a Python Backend Developer with Django or Flask experience for API and microservice development. for startup environments.,0
"NLP Engineer Seeking an NLP Engineer to create chatbots, sentiment analysis systems, and language models using transformers and Python. for startup environments.","NLP Engineer Seeking an NLP Engineer to create chatbots, sentiment analysis systems, and language models using transformers and Python. for startup environments.",1
"NLP Engineer Seeking an NLP Engineer to create chatbots, sentiment analysis systems, and language models using transformers and Python. for startup environments.","Business Analyst Seeking a Business Analyst for requirement gathering, KPI analysis, and stakeholder communication. for global teams.",0
"NLP Engineer Seeking an NLP Engineer to create chatbots, sentiment analysis systems, and language models using transformers and Python. for global teams.","NLP Engineer Seeking an NLP Engineer to create chatbots, sentiment analysis systems, and language models using transformers and Python. for global teams.",1
"NLP Engineer Seeking an NLP Engineer to create chatbots, sentiment analysis systems, and language models using transformers and Python. for global teams.","Full Stack Developer Seeking a Full Stack Developer with React, Node.js, MongoDB, and deployment skills. for enterprise solutions.",0
"Frontend React Developer Seeking a React Developer to build responsive interfaces, reusable components, and integrate REST APIs. for enterprise solutions.","Frontend React Developer Seeking a React Developer to build responsive interfaces, reusable components, and integrate REST APIs. for enterprise solutions.",1
"Frontend React Developer Seeking a React Developer to build responsive interfaces, reusable components, and integrate REST APIs. for enterprise solutions.","Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for startup environments.",0
"Frontend React Developer Seeking a React Developer to build responsive interfaces, reusable components, and integrate REST APIs. for startup environments.","Frontend React Developer Seeking a React Developer to build responsive interfaces, reusable components, and integrate REST APIs. for startup environments.",1
"Frontend React Developer Seeking a React Developer to build responsive interfaces, reusable components, and integrate REST APIs. for startup environments.","Computer Vision Engineer Seeking a CV Engineer to develop object detection, image classification, and OCR solutions using OpenCV and PyTorch. for global teams.",0
"Frontend React Developer Seeking a React Developer to build responsive interfaces, reusable components, and integrate REST APIs. for global teams.","Frontend React Developer Seeking a React Developer to build responsive interfaces, reusable components, and integrate REST APIs. for global teams.",1
"Frontend React Developer Seeking a React Developer to build responsive interfaces, reusable components, and integrate REST APIs. for global teams.","Backend Node Developer Seeking a Backend Developer to create APIs, manage databases, and implement authentication systems using Node.js and Express. for global teams.",0
"UI Developer Seeking a UI Developer skilled in HTML, CSS, JavaScript, animations, and responsive layouts. for enterprise solutions.","UI Developer Seeking a UI Developer skilled in HTML, CSS, JavaScript, animations, and responsive layouts. for enterprise solutions.",1
"UI Developer Seeking a UI Developer skilled in HTML, CSS, JavaScript, animations, and responsive layouts. for enterprise solutions.","Game Developer Seeking a Game Developer with Unity, Unreal Engine, and C# experience. for global teams.",0
"UI Developer Seeking a UI Developer skilled in HTML, CSS, JavaScript, animations, and responsive layouts. for startup environments.","UI Developer Seeking a UI Developer skilled in HTML, CSS, JavaScript, animations, and responsive layouts. for startup environments.",1
"UI Developer Seeking a UI Developer skilled in HTML, CSS, JavaScript, animations, and responsive layouts. for startup environments.","Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for enterprise solutions.",0
"UI Developer Seeking a UI Developer skilled in HTML, CSS, JavaScript, animations, and responsive layouts. for global teams.","UI Developer Seeking a UI Developer skilled in HTML, CSS, JavaScript, animations, and responsive layouts. for global teams.",1
"UI Developer Seeking a UI Developer skilled in HTML, CSS, JavaScript, animations, and responsive layouts. for global teams.","Data Engineer Seeking a Data Engineer to build ETL pipelines, manage big data systems, and optimize data warehouses. for global teams.",0
"Backend Node Developer Seeking a Backend Developer to create APIs, manage databases, and implement authentication systems using Node.js and Express. for enterprise solutions.","Backend Node Developer Seeking a Backend Developer to create APIs, manage databases, and implement authentication systems using Node.js and Express. for enterprise solutions.",1
"Backend Node Developer Seeking a Backend Developer to create APIs, manage databases, and implement authentication systems using Node.js and Express. for enterprise solutions.","Financial Data Analyst Seeking a Financial Data Analyst to analyze revenue, expenses, budgeting, and forecasting trends. Responsibilities include Excel modeling, SQL reporting, and financial dashboard creation for business planning. for global teams.",0
"Backend Node Developer Seeking a Backend Developer to create APIs, manage databases, and implement authentication systems using Node.js and Express. for startup environments.","Backend Node Developer Seeking a Backend Developer to create APIs, manage databases, and implement authentication systems using Node.js and Express. for startup environments.",1
"Backend Node Developer Seeking a Backend Developer to create APIs, manage databases, and implement authentication systems using Node.js and Express. for startup environments.",Python Backend Developer Seeking a Python Backend Developer with Django or Flask experience for API and microservice development. for global teams.,0
"Backend Node Developer Seeking a Backend Developer to create APIs, manage databases, and implement authentication systems using Node.js and Express. for global teams.","Backend Node Developer Seeking a Backend Developer to create APIs, manage databases, and implement authentication systems using Node.js and Express. for global teams.",1
"Backend Node Developer Seeking a Backend Developer to create APIs, manage databases, and implement authentication systems using Node.js and Express. for global teams.","Database Administrator Seeking a DBA with MySQL, PostgreSQL, indexing, backup, and performance tuning experience. for enterprise solutions.",0
Python Backend Developer Seeking a Python Backend Developer with Django or Flask experience for API and microservice development. for enterprise solutions.,Python Backend Developer Seeking a Python Backend Developer with Django or Flask experience for API and microservice development. for enterprise solutions.,1
Python Backend Developer Seeking a Python Backend Developer with Django or Flask experience for API and microservice development. for enterprise solutions.,"Machine Learning Engineer Seeking an ML Engineer to build predictive models, NLP systems, and deep learning pipelines using Python, TensorFlow, and scikit-learn. for enterprise solutions.",0
Python Backend Developer Seeking a Python Backend Developer with Django or Flask experience for API and microservice development. for startup environments.,Python Backend Developer Seeking a Python Backend Developer with Django or Flask experience for API and microservice development. for startup environments.,1
Python Backend Developer Seeking a Python Backend Developer with Django or Flask experience for API and microservice development. for startup environments.,"Marketing Data Analyst Seeking a Marketing Data Analyst to evaluate campaign performance, customer segmentation, and ROI analysis using Tableau, Excel, and SQL. for global teams.",0
Python Backend Developer Seeking a Python Backend Developer with Django or Flask experience for API and microservice development. for global teams.,Python Backend Developer Seeking a Python Backend Developer with Django or Flask experience for API and microservice development. for global teams.,1
Python Backend Developer Seeking a Python Backend Developer with Django or Flask experience for API and microservice development. for global teams.,"Manual Tester Seeking a Manual Tester for functional, regression, and usability testing. for startup environments.",0
Java Spring Developer Seeking a Java Developer with Spring Boot and Hibernate for enterprise backend applications. for enterprise solutions.,Java Spring Developer Seeking a Java Developer with Spring Boot and Hibernate for enterprise backend applications. for enterprise solutions.,1
Java Spring Developer Seeking a Java Developer with Spring Boot and Hibernate for enterprise backend applications. for enterprise solutions.,"Business Intelligence Analyst Seeking a BI Analyst to build dashboards, KPIs, and reports using Power BI, Tableau, SQL, and stakeholder communication. for enterprise solutions.",0
Java Spring Developer Seeking a Java Developer with Spring Boot and Hibernate for enterprise backend applications. for startup environments.,Java Spring Developer Seeking a Java Developer with Spring Boot and Hibernate for enterprise backend applications. for startup environments.,1
Java Spring Developer Seeking a Java Developer with Spring Boot and Hibernate for enterprise backend applications. for startup environments.,"Cybersecurity Analyst Seeking a Cybersecurity Analyst for penetration testing, vulnerability assessment, and incident response. for startup environments.",0
Java Spring Developer Seeking a Java Developer with Spring Boot and Hibernate for enterprise backend applications. for global teams.,Java Spring Developer Seeking a Java Developer with Spring Boot and Hibernate for enterprise backend applications. for global teams.,1
Java Spring Developer Seeking a Java Developer with Spring Boot and Hibernate for enterprise backend applications. for global teams.,"QA Automation Engineer Seeking a QA Engineer skilled in Selenium, test automation, and software quality assurance. for enterprise solutions.",0
"DevOps Engineer Seeking a DevOps Engineer for CI/CD pipelines, Docker, Kubernetes, AWS, and automation scripting. for enterprise solutions.","DevOps Engineer Seeking a DevOps Engineer for CI/CD pipelines, Docker, Kubernetes, AWS, and automation scripting. for enterprise solutions.",1
